Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
9300,0.994843, 0.012112, 0.010225, 0.835076,0.923964, 0.002000, 0.095425, 0.870265,0.988915,0.016962,0.014391,0.817786
9400,0.996246, 0.012740, 0.013169, 0.806112,0.899112, 0.093809, 0.115416, 0.937275,0.992732,0.019032,0.013629,0.821677
9500,0.996448, 0.009664, 0.014951, 0.816139,0.927627, 0.114339, 0.070560, 0.727867,0.992097,0.016077,0.021543,0.817163
9600,0.996399, 0.008320, 0.011389, 0.822582,0.922910, 0.074887, 0.118161, 0.659341,0.991526,0.016819,0.018139,0.814858
9700,0.996739, 0.009643, 0.011753, 0.844478,0.945503, 0.054386, 0.096586, 0.798257,0.991767,0.015377,0.015569,0.836622
9800,0.996980, 0.021219, 0.013919, 0.858389,0.897624, 0.002000, 0.085046, 0.904391,0.992908,0.018182,0.018117,0.839003
9900,0.996532, 0.011312, 0.011802, 0.836365,0.918497, 0.073211, 0.088464, 0.644609,0.989693,0.015740,0.015670,0.825970
10000,0.995435, 0.009037, 0.013853, 0.836519,0.945828, 0.107011, 0.095608, 0.815633,0.991606,0.015735,0.019482,0.828683
10100,0.996798, 0.010126, 0.013644, 0.823496,0.908338, 0.094450, 0.004292, 0.843955,0.993331,0.014538,0.019168,0.832524
10200,0.997070, 0.010981, 0.014059, 0.838458,0.912810, 0.002000, 0.048854, 0.814343,0.988705,0.015276,0.022006,0.834538
10300,0.996510, 0.010444, 0.016009, 0.860327,0.905487, 0.002000, 0.055325, 0.744785,0.990858,0.014091,0.018047,0.856125
10400,0.996398, 0.010936, 0.015839, 0.849620,0.933464, 0.061625, 0.016870, 0.768314,0.990241,0.016213,0.023293,0.846625
10500,0.997113, 0.011274, 0.014491, 0.873561,0.936294, 0.082334, 0.097875, 0.826810,0.986990,0.025202,0.018249,0.869095
10600,0.995772, 0.015093, 0.015050, 0.861518,0.935017, 0.024686, 0.074359, 0.763614,0.990117,0.025908,0.019777,0.854133
