Generation, BPA-R, BPA-S, BPA-T, BPA-P, SD-R, SD-S, SD-T, SD-P, AA-R, AA-S, AA-T, AA-P, ABPA-R, ABPA-S, ABPA-T, ABPA-P, Total Score
308501,0.093987, 0.061293, 0.047425, 0.002000,0.078286,0.073543,0.076700,0.025720,0.077650,0.087109,0.104036,0.011302,0.065783,0.071804,0.069792,0.037981,28469432
309001,0.030960, 0.027225, 0.076650, 0.002000,0.074779,0.082195,0.055902,0.009760,0.101799,0.112827,0.048495,0.005594,0.123959,0.114492,0.073295,0.002000,28462532
309501,0.193782, 0.067452, 0.076096, 0.002000,0.066967,0.082162,0.053865,0.017996,0.069219,0.074500,0.050015,0.008883,0.068767,0.082887,0.117744,0.002000,28454585
310001,0.105716, 0.074120, 0.054754, 0.002000,0.078776,0.065726,0.045507,0.023030,0.070776,0.086290,0.043063,0.011496,0.128175,0.079479,0.021506,0.030716,28327758
310501,0.162872, 0.050872, 0.018243, 0.002000,0.075930,0.066100,0.046621,0.026309,0.103561,0.081889,0.037115,0.013668,0.204749,0.071066,0.048321,0.011672,28461298
311001,0.059817, 0.111654, 0.002000, 0.093387,0.063510,0.050737,0.071044,0.030696,0.088811,0.062183,0.086287,0.016034,0.061350,0.077775,0.028785,0.032462,28460229
311501,0.036306, 0.002000, 0.116920, 0.002000,0.064214,0.071864,0.075839,0.030955,0.080245,0.058149,0.075187,0.019417,0.107754,0.002000,0.090739,0.034824,28368242
312001,0.171443, 0.083999, 0.003837, 0.002000,0.074327,0.064973,0.062525,0.026989,0.090780,0.065684,0.086673,0.018616,0.180126,0.084574,0.091839,0.017211,28570210
312501,0.078610, 0.059104, 0.002941, 0.002000,0.094173,0.054673,0.058288,0.026339,0.100763,0.069130,0.054195,0.014863,0.041033,0.056533,0.050525,0.021239,28407613
313001,0.135212, 0.002000, 0.013403, 0.026479,0.093493,0.087862,0.066316,0.023332,0.096464,0.108535,0.063935,0.012778,0.046404,0.048294,0.023769,0.010160,28485551
313501,0.002000, 0.069727, 0.110779, 0.002000,0.073765,0.086323,0.051997,0.026394,0.129577,0.116116,0.042091,0.014985,0.083774,0.104151,0.063543,0.031603,28468618
314001,0.073248, 0.002000, 0.074053, 0.002000,0.084465,0.097524,0.085448,0.028151,0.095518,0.066385,0.070233,0.017707,0.053699,0.031315,0.037469,0.002000,28377323
314501,0.108564, 0.050521, 0.002000, 0.002000,0.071530,0.064151,0.069586,0.027119,0.128819,0.057858,0.067121,0.011834,0.127447,0.108550,0.024531,0.002000,28398161
315001,0.287011, 0.021718, 0.070442, 0.002000,0.076538,0.093434,0.075604,0.023840,0.122025,0.124426,0.070895,0.013121,0.154744,0.129117,0.036862,0.002000,28468868
