Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
5900,0.188224, 0.088466, 0.012930, 0.006452,0.840894, 0.970753, 0.359234, 0.576722,0.376853,0.279559,0.186874,0.185152
6000,0.094728, 0.246952, 0.037997, 0.001233,0.395839, 0.977420, 0.412391, 0.974580,0.369087,0.252384,0.201719,0.166999
6100,0.131720, 0.383350, 0.001001, 0.018291,0.652305, 0.923448, 0.986640, 0.703492,0.404294,0.265896,0.153167,0.166759
6200,0.141989, 0.352363, 0.009677, 0.012195,0.157284, 0.942084, 0.918401, 0.765618,0.399506,0.278518,0.204042,0.152443
6300,0.091390, 0.170445, 0.009169, 0.013496,0.850625, 0.923535, 0.962795, 0.642403,0.394567,0.258116,0.155095,0.182869
6400,0.389175, 0.132143, 0.012889, 0.012969,0.151085, 0.987964, 0.979757, 0.153321,0.375515,0.274309,0.156175,0.145262
6500,0.012907, 0.304355, 0.031871, 0.007917,0.647597, 0.926085, 0.762481, 0.989453,0.389187,0.295007,0.129876,0.162368
6600,0.009959, 0.394340, 0.005687, 0.004682,0.272905, 0.953219, 0.470430, 0.961174,0.395556,0.304683,0.161489,0.144924
6700,0.487157, 0.151462, 0.012182, 0.002854,0.786296, 0.827369, 0.670297, 0.594682,0.380187,0.259399,0.150295,0.170386
6800,0.555143, 0.008390, 0.013077, 0.026810,0.855240, 0.781252, 0.928101, 0.893826,0.390817,0.267681,0.155484,0.176750
6900,0.090882, 0.136759, 0.033539, 0.003377,0.987197, 0.943401, 0.993712, 0.193945,0.393640,0.279667,0.188177,0.162507
7000,0.849213, 0.010920, 0.006688, 0.006408,0.693602, 0.988580, 0.778627, 0.647380,0.389152,0.285658,0.176487,0.149334
7100,0.368412, 0.101662, 0.020262, 0.003027,0.006405, 0.985296, 0.555602, 0.855573,0.397083,0.267017,0.165637,0.161296
7200,0.009959, 0.394340, 0.005687, 0.004682,0.553807, 0.953813, 0.971672, 0.824461,0.378971,0.272092,0.180594,0.170581
7300,0.487157, 0.151462, 0.012182, 0.002854,0.807045, 0.859902, 0.436352, 0.780618,0.389948,0.264406,0.152989,0.159209
7400,0.849213, 0.010920, 0.006688, 0.006408,0.718707, 0.868484, 0.361121, 0.668207,0.426280,0.262782,0.179236,0.127708
7500,0.090882, 0.136759, 0.033539, 0.003377,0.082581, 0.945806, 0.584990, 0.610089,0.406251,0.254185,0.166160,0.175111
7600,0.487157, 0.151462, 0.012182, 0.002854,0.748891, 0.919068, 0.966298, 0.516238,0.398541,0.295634,0.153352,0.154550
7700,0.287684, 0.022834, 0.023760, 0.018224,0.830084, 0.983371, 0.664074, 0.449847,0.405755,0.288680,0.210464,0.143771
7800,0.098899, 0.066365, 0.022364, 0.023684,0.135054, 0.995265, 0.755031, 0.407154,0.356898,0.283855,0.161753,0.145232
7900,0.014588, 0.132443, 0.008239, 0.004025,0.935555, 0.992396, 0.248162, 0.313860,0.374245,0.268041,0.165205,0.146562
8000,0.014588, 0.132443, 0.008239, 0.004025,0.129741, 0.909666, 0.739802, 0.886254,0.371498,0.250895,0.136035,0.142417
8100,0.184960, 0.042982, 0.023281, 0.024305,0.930988, 0.951677, 0.947985, 0.490867,0.376945,0.265636,0.192254,0.160930
8200,0.529341, 0.174265, 0.030043, 0.002061,0.974161, 0.853950, 0.854039, 0.984425,0.378560,0.280843,0.180703,0.206086
8300,0.028219, 0.022328, 0.025115, 0.002152,0.627950, 0.995978, 0.267536, 0.415678,0.384204,0.277314,0.189129,0.157632
8400,0.360317, 0.294140, 0.005369, 0.011371,0.738005, 0.895449, 0.650245, 0.596775,0.387600,0.289698,0.169712,0.174067
8500,0.014588, 0.132443, 0.008239, 0.004025,0.886909, 0.918306, 0.901520, 0.963566,0.383861,0.254654,0.170288,0.191377
8600,0.091390, 0.170445, 0.009169, 0.013496,0.937530, 0.818472, 0.770382, 0.922073,0.373113,0.277611,0.152673,0.153224
8700,0.458555, 0.131628, 0.020053, 0.002801,0.945610, 0.883378, 0.551556, 0.738869,0.372878,0.219281,0.174255,0.172053
8800,0.009959, 0.394340, 0.005687, 0.004682,0.910583, 0.911109, 0.196212, 0.895686,0.379384,0.287794,0.163071,0.165933
8900,0.014588, 0.132443, 0.008239, 0.004025,0.752267, 0.955721, 0.258270, 0.613506,0.349960,0.256743,0.162607,0.164127
9000,0.601442, 0.267317, 0.004866, 0.001517,0.062846, 0.997746, 0.358576, 0.860762,0.364402,0.263500,0.157081,0.148734
9100,0.695938, 0.033799, 0.003680, 0.009187,0.319993, 0.897864, 0.398154, 0.637005,0.380881,0.256857,0.145204,0.146777
9200,0.014588, 0.132443, 0.008239, 0.004025,0.890085, 0.887666, 0.063922, 0.863246,0.360665,0.260254,0.166439,0.125913
9300,0.274646, 0.290492, 0.023519, 0.012613,0.888439, 0.988463, 0.719546, 0.202529,0.361695,0.263287,0.209098,0.162768
9400,0.529341, 0.174265, 0.030043, 0.002061,0.981172, 0.875280, 0.595372, 0.770952,0.398455,0.245175,0.178520,0.156746
9500,0.049224, 0.008293, 0.024446, 0.016712,0.793093, 0.991589, 0.189348, 0.332510,0.392438,0.238920,0.162010,0.159707
9600,0.695938, 0.033799, 0.003680, 0.009187,0.727875, 0.944922, 0.394125, 0.429102,0.398464,0.203555,0.182114,0.169827
9700,0.125869, 0.090795, 0.005341, 0.003165,0.751454, 0.996908, 0.236513, 0.947975,0.350519,0.256949,0.148491,0.162342
9800,0.018647, 0.059449, 0.022046, 0.012048,0.924968, 0.852367, 0.700638, 0.592128,0.384043,0.246274,0.166446,0.136631
9900,0.026792, 0.229345, 0.043405, 0.007666,0.572103, 0.952935, 0.769875, 0.338059,0.369155,0.265087,0.185642,0.140750
10000,0.601442, 0.267317, 0.004866, 0.001517,0.961599, 0.989494, 0.859869, 0.756577,0.403499,0.245845,0.140611,0.151807
10100,0.009959, 0.394340, 0.005687, 0.004682,0.760265, 0.916843, 0.280516, 0.709598,0.392108,0.276059,0.170141,0.167397
10200,0.695938, 0.033799, 0.003680, 0.009187,0.529192, 0.944478, 0.673729, 0.816110,0.395834,0.262688,0.166286,0.145282
10300,0.458555, 0.131628, 0.020053, 0.002801,0.349830, 0.987431, 0.996430, 0.833030,0.366000,0.252356,0.166260,0.157945
10400,0.389175, 0.132143, 0.012889, 0.012969,0.677901, 0.951139, 0.023740, 0.976919,0.407422,0.248285,0.147649,0.169601
10500,0.028219, 0.022328, 0.025115, 0.002152,0.797938, 0.971493, 0.838850, 0.870397,0.371716,0.260294,0.164667,0.173879
10600,0.125869, 0.090795, 0.005341, 0.003165,0.381959, 0.916151, 0.270868, 0.910233,0.420228,0.260205,0.153292,0.151813
