Generation, BPA-R, BPA-S, BPA-T, BPA-P, SD-R, SD-S, SD-T, SD-P, AA-R, AA-S, AA-T, AA-P, ABPA-R, ABPA-S, ABPA-T, ABPA-P,Total Score
530501,0.018442, 0.020849, 0.221987, 0.018781,0.074929,0.078634,0.086074,0.026926,0.095631,0.062912,0.090352,0.017039,0.078620,0.013512,0.134300,0.018004,28426098
531001,0.028465, 0.048386, 0.002000, 0.006860,0.115731,0.065017,0.092364,0.020291,0.162165,0.063400,0.108300,0.012218,0.156325,0.059778,0.079188,0.026991,28489156
531501,0.096550, 0.162258, 0.002000, 0.038022,0.091795,0.062660,0.069761,0.030579,0.129742,0.058106,0.070193,0.020354,0.084092,0.072996,0.048686,0.014007,28421742
532001,0.002000, 0.045819, 0.086221, 0.002000,0.072907,0.057544,0.054405,0.020246,0.116471,0.057015,0.052056,0.011297,0.081522,0.054258,0.056595,0.008656,28493371
532501,0.133745, 0.018197, 0.017223, 0.002000,0.075423,0.070678,0.060186,0.030938,0.085126,0.063867,0.065294,0.017804,0.097477,0.016945,0.073315,0.002000,28454358
533001,0.119317, 0.209025, 0.121905, 0.007731,0.072389,0.086264,0.075769,0.023077,0.097369,0.111843,0.095540,0.014534,0.160865,0.213318,0.104128,0.003910,28491566
533501,0.075184, 0.058053, 0.002000, 0.002000,0.083425,0.081941,0.074857,0.024832,0.129377,0.098088,0.063825,0.010455,0.149340,0.105199,0.013160,0.038225,28505758
534001,0.040907, 0.196655, 0.002000, 0.002000,0.076977,0.072783,0.045076,0.025372,0.073834,0.128191,0.041758,0.013476,0.055621,0.157430,0.036264,0.002244,28395440
534501,0.255858, 0.098692, 0.209652, 0.002000,0.087657,0.059872,0.071458,0.033312,0.117422,0.062870,0.091960,0.017564,0.223970,0.085348,0.085606,0.002000,28452624
535001,0.153168, 0.031589, 0.030215, 0.002000,0.068834,0.104908,0.067054,0.026574,0.069805,0.063848,0.093529,0.013200,0.052534,0.062310,0.037956,0.010053,28500614
535501,0.011975, 0.288646, 0.079928, 0.001537,0.076196,0.075439,0.069314,0.016484,0.085597,0.074866,0.092465,0.008018,0.088480,0.164072,0.035057,0.001846,28378209
536001,0.141002, 0.013460, 0.005715, 0.112435,0.043894,0.066370,0.076604,0.024367,0.045788,0.089105,0.086522,0.011513,0.077197,0.060336,0.051229,0.038812,28441765
536501,0.197416, 0.076442, 0.051730, 0.002000,0.065937,0.082131,0.050616,0.011806,0.128112,0.101600,0.046168,0.005925,0.118710,0.031388,0.018577,0.002000,28384295
537001,0.013534, 0.149050, 0.012923, 0.002000,0.058574,0.080644,0.060605,0.023384,0.060721,0.078847,0.067543,0.015026,0.015597,0.149877,0.005641,0.002000,28463723
537501,0.123480, 0.224417, 0.002000, 0.002000,0.086528,0.071182,0.066764,0.017416,0.133271,0.121001,0.075015,0.009159,0.136470,0.167035,0.070391,0.020140,28454960
538001,0.112828, 0.190869, 0.090777, 0.002000,0.070700,0.054335,0.063403,0.021843,0.082833,0.057905,0.084257,0.014250,0.112733,0.102039,0.055805,0.021208,28380246
538501,0.269716, 0.002000, 0.002000, 0.068046,0.077697,0.068159,0.057960,0.019537,0.141429,0.060506,0.048018,0.009327,0.172261,0.044721,0.025667,0.027466,28431315
539001,0.131947, 0.167310, 0.113201, 0.002000,0.078192,0.064275,0.058288,0.019657,0.097067,0.066945,0.062814,0.011842,0.108936,0.108480,0.118839,0.016320,28450421
539501,0.304082, 0.016319, 0.002000, 0.002000,0.147400,0.068114,0.073093,0.027529,0.183392,0.059412,0.078933,0.015898,0.271071,0.167170,0.006013,0.002000,28419574
540001,0.206885, 0.028459, 0.061975, 0.002000,0.081002,0.079306,0.049859,0.016923,0.116202,0.082744,0.047648,0.007912,0.154227,0.068263,0.091881,0.002000,28406985
540501,0.238608, 0.103153, 0.164619, 0.002000,0.070103,0.056201,0.101896,0.029863,0.101605,0.078682,0.121849,0.018045,0.141183,0.036452,0.132323,0.002000,28441627
541001,0.155039, 0.074022, 0.002000, 0.002000,0.088704,0.089098,0.046968,0.027072,0.119106,0.104543,0.061581,0.016835,0.131230,0.065217,0.042005,0.002000,28399424
541501,0.176234, 0.034420, 0.086909, 0.002000,0.105360,0.057815,0.053139,0.019352,0.127891,0.053501,0.057547,0.009953,0.174214,0.026075,0.049087,0.002000,28547162
542001,0.127904, 0.002000, 0.002000, 0.002000,0.083225,0.055801,0.053396,0.029635,0.116461,0.064729,0.050546,0.018007,0.086400,0.015469,0.065866,0.003925,28465396
542501,0.173843, 0.062706, 0.048506, 0.031247,0.085095,0.060000,0.078117,0.018100,0.129200,0.086486,0.064487,0.009169,0.160182,0.022235,0.158010,0.011749,28489951
543001,0.265894, 0.116214, 0.020989, 0.002000,0.092076,0.067277,0.080203,0.021918,0.166476,0.086538,0.118863,0.013141,0.232763,0.040071,0.067791,0.002000,28366755
543501,0.096038, 0.002000, 0.002000, 0.002000,0.100860,0.062375,0.062996,0.023881,0.129059,0.059140,0.086878,0.011603,0.256184,0.108215,0.046272,0.010940,28470058
