Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
3000,0.992903, 0.008997, 0.008873, 0.012965,0.025353, 0.992377, 0.007133, 0.905947,0.880176,0.188853,0.115356,0.117118
3050,0.990344, 0.045042, 0.016652, 0.032518,0.712095, 0.981204, 0.108425, 0.394364,0.905345,0.201087,0.135615,0.112832
3100,0.992555, 0.045373, 0.007318, 0.013759,0.025558, 0.991362, 0.612233, 0.991652,0.919037,0.232086,0.156978,0.164768
3150,0.992903, 0.008997, 0.008873, 0.012965,0.133495, 0.983647, 0.936358, 0.970189,0.891577,0.206894,0.118664,0.121608
3200,0.992129, 0.055087, 0.011423, 0.008667,0.192276, 0.973317, 0.967218, 0.901459,0.880227,0.227438,0.122250,0.128892
3250,0.992515, 0.089915, 0.008363, 0.008145,0.010544, 0.973995, 0.950348, 0.297094,0.876922,0.228911,0.110304,0.103240
3300,0.992555, 0.045373, 0.007318, 0.013759,0.046678, 0.982555, 0.016224, 0.974502,0.866300,0.214692,0.136345,0.124629
3350,0.992515, 0.089915, 0.008363, 0.008145,0.198850, 0.986261, 0.985646, 0.876440,0.871327,0.218307,0.121431,0.128752
3400,0.992064, 0.066024, 0.014532, 0.022000,0.076145, 0.992132, 0.150123, 0.785640,0.884082,0.202556,0.120804,0.108562
3450,0.985876, 0.008819, 0.008310, 0.030002,0.008179, 0.990010, 0.204535, 0.990571,0.893870,0.213266,0.108057,0.142365
3500,0.992555, 0.045373, 0.007318, 0.013759,0.353938, 0.933404, 0.363777, 0.947691,0.915032,0.194962,0.113574,0.095861
3550,0.992903, 0.008997, 0.008873, 0.012965,0.338671, 0.982565, 0.992525, 0.991413,0.870562,0.170897,0.125759,0.143515
3600,0.991883, 0.007142, 0.019795, 0.009615,0.033794, 0.935305, 0.968742, 0.816267,0.872560,0.219793,0.119750,0.140791
3650,0.992903, 0.008997, 0.008873, 0.012965,0.167063, 0.992879, 0.980802, 0.605181,0.931749,0.235362,0.158412,0.116571
3700,0.992064, 0.066024, 0.014532, 0.022000,0.557200, 0.983957, 0.989236, 0.884337,0.910398,0.190072,0.153053,0.114503
3750,0.992064, 0.066024, 0.014532, 0.022000,0.522046, 0.975882, 0.893583, 0.882159,0.889291,0.190478,0.099770,0.131099
3800,0.992903, 0.008997, 0.008873, 0.012965,0.015067, 0.992247, 0.837476, 0.373343,0.903442,0.203539,0.127490,0.123166
3850,0.990177, 0.025960, 0.019517, 0.014537,0.382144, 0.902629, 0.802891, 0.981230,0.905934,0.207910,0.106842,0.102108
3900,1.143899, 0.090848, 0.002000, 0.002000,0.387445, 0.991701, 0.993258, 0.829523,0.883127,0.184373,0.107866,0.121756
3950,0.992486, 0.016498, 0.011053, 0.036683,0.633955, 0.911703, 0.942459, 0.576749,0.933898,0.186401,0.152812,0.152934
4000,0.992903, 0.008997, 0.008873, 0.012965,0.051417, 0.985001, 0.964574, 0.637981,0.884125,0.169553,0.098483,0.159143
